movie_title,comb
everything happens to me,action comedy family michele lupo bud spencer  cary guffey  ferruccio amendola
desideria,drama gianni barcelloni stefania sandrelli  lara wendel  klaus löwitsch
on a volé la cuisse de jupiter,comedy philippe de broca annie girardot  philippe noiret  francis perrin
lost souls,drama horror thriller tun-fei mou hung yen  feng chi  ming chen
white cannibal queen,horror jesús franco francesco prosperi al cliver  sabrina siani  jérôme foulon
the pilot,action drama cliff robertson cliff robertson  diane baker  frank converse
la tía alejandra,drama horror mystery arturo ripstein diana bracho  isabela corona  manuel ojeda
zigeunerweisen,horror mystery seijun suzuki yoshio harada  naoko ôtani  kisako makishi
die laughing,adventure comedy crime jeff werner robby benson  linda grovenor  charles durning
hardly working,comedy jerry lewis jerry lewis  susan oliver  roger c. carmel
the umbrella coup,adventure comedy crime gérard oury pierre richard  valérie mairesse  christine murillo
health,comedy robert altman carol burnett  glenda jackson  james garner
orgasmo nero,drama horror joe d'amato nieves navarro  richard harrison  lucia ramirez
"happy birthday, gemini",comedy drama romance richard benner madeline kahn  rita moreno  robert viharo
navajeros,crime drama thriller eloy de la iglesia josé luis manzano  isela vega  verónica castro
vavilon xx,drama ivan mikolaychuk lyubov polishchuk  ivan mikolaychuk  les serdyuk
alexander the great,drama history theodoros angelopoulos omero antonutti  eva kotamanidou  mihalis giannatos
the traveling companion,comedy ferdinando baldi anna maria rizzoli  giorgio bracardi  raf luca
contraband,action crime drama lucio fulci fabio testi  ivana monti  marcel bozzuffi
confidence,drama istván szabó ildikó bánsági  péter andorai  oszkárné gombik
the attic,drama horror thriller george edwards gary graver carrie snodgress  ray milland  ruth cox
one-trick pony,comedy drama music robert m. young paul simon  blair brown  rip torn
coyote and bronca,adventure comedy drama rafael villaseñor kuri vicente fernández  blanca guerra  gloria marín
in god we trust (or gimme that prime time religion),comedy marty feldman marty feldman  peter boyle  louise lasser
tribute,comedy drama bob clark jack lemmon  robby benson  lee remick
the alien dead,comedy horror sci-fi fred olen ray buster crabbe  ray roberts  linda lewis
first family,comedy buck henry bob newhart  gilda radner  madeline kahn
the king and the mockingbird,animation family fantasy paul grimault jean martin  pascal mazzotti  raymond bussières
action,drama tinto brass luc merenda  adriana asti  susanna javicoli
banker bilo,comedy drama ertem egilmez ilyas salman  meral zeren  sener sen
erotic symphony,crime drama romance jesús franco lina romay  susan hemingway  armando borges
toxic zombies,horror sci-fi charles mccrann charles mccrann  beverly shapiro  dennis helfend
funeral home,horror thriller william fruet kay hawtrey  lesleh donaldson  barry morse
blanca nieves y sus 7 amantes,comedy drama ismael rodríguez sasha montenegro  eric del castillo  rafael inclán
the immoral one,drama romance claude mulot sylvie dessartre  yves jouffroy  anna perini
below the belt,action comedy drama robert fowler regina baff  john c. becher  mildred burke
nijinsky,biography drama music herbert ross alan bates  george de la pena  leslie browne
loving couples,comedy jack smight shirley maclaine  james coburn  susan sarandon
the club,comedy drama sport bruce beresford jack thompson  graham kennedy  frank wilson
falling in love again,drama romance steven paul elliott gould  susannah york  michelle pfeiffer
beyond terror,horror tomás aznar francisco sánchez grajera  raquel ramírez  emilio siegrist
the kingdom of diamonds,comedy drama family satyajit ray tapan chatterjee  rabi ghosh  utpal dutt
a small circle of friends,drama rob cohen brad davis  karen allen  jameson parker
the miser,comedy louis de funès jean girault louis de funès  franck cabot-david  hervé bellon
jane austen in manhattan,drama romance james ivory david redden  michael wager  robert powell
simon,comedy sci-fi marshall brickman alan arkin  madeline kahn  austin pendleton
